order_date,region,category,channel,units,unit_price,discount,revenue,customer_satisfaction
2025-01-25,East,Home,Partner,12,321.94,,3863.27,5.0
2025-01-26,North,Apparel,Retail,13,445.51,0.058,5791.64,2.0
2025-01-27,East,Electronics,Retail,5,461.81,0.001,2309.04,2.0
2025-01-28,East,Grocery,Online,11,273.9,0.151,3012.91,5.0
2025-01-29,North,Home,Partner,8,352.23,0.158,2817.81,4.0
2025-01-30,South,Grocery,Online,10,296.7,0.197,2966.99,
2025-01-31,West,Grocery,Retail,7,868.61,0.115,6080.3,4.0
2025-02-01,North,Toys,Partner,6,770.26,0.001,4621.57,5.0
2025-02-02,South,Toys,Partner,11,350.59,,3856.49,1.0
2025-02-03,South,Grocery,Partner,11,356.37,0.016,3920.07,2.0
2024-01-01,West,Electronics,Partner,11,759.35,0.26,8352.84,2.0
2024-01-02,South,Apparel,Retail,4,563.11,0.096,2252.43,1.0
2024-01-03,West,Home,Partner,9,538.28,0.225,38037.836231310204,
2024-01-04,East,Toys,Partner,7,702.59,0.041,4918.16,2.0
2024-01-05,North,Grocery,Retail,7,501.81,0.205,3512.66,1.0
